bugID,opened_date,release,status,inheritance,overriding,fixed_date,modified_files
23734,20020918111128,2.0.1,VERIFIED,NO,NO,20020923143009 20020923161156 20020923174742,org.eclipse.jdt.core/dom/org/eclipse/jdt/core/dom/CompilationUnit.java
24010,20020924054754,2.0.1,VERIFIED,NO,NO,20021107092024,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/TypeResolveTests.java org.eclipse.jdt.core/buildnotes_jdt-core.html org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/SelectionEngine.java
24127,20020926081137,2.0.1,RESOLVED,NO,NO,20021028221219,org.eclipse.jdt.core/model/org/eclipse/jdt/core/IClasspathEntry.java org.eclipse.jdt.core/model/org/eclipse/jdt/core/IJavaProject.java org.eclipse.jdt.core/model/org/eclipse/jdt/core/IPackageFragment.java org.eclipse.jdt.core/model/org/eclipse/jdt/core/IPackageFragmentRoot.java org.eclipse.jdt.core/model/org/eclipse/jdt/core/JavaCore.java
24308,20021002071240,2.0.1,VERIFIED,NO,NO,20021126154006,org.eclipse.jdt.core/buildnotes_jdt-core.html org.eclipse.jdt.core/search/org/eclipse/jdt/core/search/SearchEngine.java org.eclipse.jdt.core/search/org/eclipse/jdt/internal/core/search/matching/MatchLocator.java org.eclipse.jdt.core/search/org/eclipse/jdt/internal/core/search/matching/MatchSet.java org.eclipse.jdt.core/search/org/eclipse/jdt/internal/core/search/matching/MatchingOpenable.java org.eclipse.jdt.core/search/org/eclipse/jdt/internal/core/search/matching/SuperTypeNamesCollector.java
24517,20021008113031,2.0.1,VERIFIED,NO,NO,20021113155948,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/JavaElementDeltaTests.java org.eclipse.jdt.core/buildnotes_jdt-core.html org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/SetClasspathOperation.java
24518,20021008113715,2.0.1,VERIFIED,YES,NO,20021029145745,org.eclipse.jdt.core/batch/org/eclipse/jdt/internal/compiler/batch/messages.properties org.eclipse.jdt.core/buildnotes_jdt-core.html org.eclipse.jdt.core/model/org/eclipse/jdt/core/IMember.java
24565,20021009091225,2.0.1,VERIFIED,YES,NO,20021030124445,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/CompletionTests.java org.eclipse.jdt.core/buildnotes_jdt-core.html org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/CompletionEngine.java
24626,20021010092019,2.0.1,VERIFIED,YES,NO,20021105101821,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/ResolveTests.java org.eclipse.jdt.core/buildnotes_jdt-core.html org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/select/SelectionParser.java
24747,20021014095054,2.0.1,VERIFIED,NO,NO,20021017214233,org.eclipse.jdt.core/buildnotes_jdt-core.html org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/ArrayBinding.java org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/BaseTypeBinding.java org.eclipse.jdt.core/compiler/org/eclipse/jdt/internal/compiler/lookup/TypeBinding.java
24773,20021015063010,2.0.1,VERIFIED,NO,NO,20021017214439 20021017214641,org.eclipse.jdt.core/buildnotes_jdt-core.html org.eclipse.jdt.core/dom/org/eclipse/jdt/core/dom/CompilationUnitResolver.java
