bugID,opened_date,release,status,inheritance,overriding,fixed_date,modified_files
336592,20110208034200,R.3.4.2,RESOLVED,NO,NO,20110817160010,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks org.eclipse.mylyn.versions update.sh
336683,20110209034200,R.3.4.2,RESOLVED,NO,NO,20110817160010,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks org.eclipse.mylyn.versions update.sh
336813,20110210081700,R.3.4.2,RESOLVED,NO,NO,20120704163738,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks org.eclipse.mylyn.versions
337980,20110223100600,R.3.4.2,RESOLVED,NO,NO,20110817160010,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks org.eclipse.mylyn.versions update.sh
337999,20110223122600,R.3.4.2,RESOLVED,NO,NO,20130828175942 20130926214912,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks org.eclipse.mylyn.versions
338013,20110223142500,R.3.4.2,RESOLVED,NO,NO,20120605205629,org.eclipse.mylyn org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks
338893,20110304022700,R.3.4.2,RESOLVED,NO,NO,20120225190616,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks
339474,20110310032900,R.3.4.2,RESOLVED,NO,NO,20111226122219 20111226183059,org.eclipse.mylyn org.eclipse.mylyn.commons org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks
339956,20110314190400,R.3.4.2,RESOLVED,NO,NO,20110817160010,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks org.eclipse.mylyn.versions update.sh
341434,20110330184400,R.3.5.0,RESOLVED,NO,NO,20110907230627,org.eclipse.mylyn.commons org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks org.eclipse.mylyn.versions
343544,20110421101300,R.3.5.1,RESOLVED,NO,NO,20110817160010 20110817225354,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.docs org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks org.eclipse.mylyn.versions update.sh
343748,20110425124000,R.3.5.1,RESOLVED,NO,NO,20111214165243,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.context org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks
344039,20110427155500,R.3.5.1,RESOLVED,NO,NO,20130426081333,org.eclipse.mylyn.commons org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks
344100,20110428052600,R.3.5.1,RESOLVED,NO,NO,20121208222420,org.eclipse.mylyn org.eclipse.mylyn.builds org.eclipse.mylyn.commons org.eclipse.mylyn.reviews org.eclipse.mylyn.tasks
