bugID,opened_date,status,inheritance,overriding
358637,20110922140100,RESOLVED,NO,NO
358657,20110922160600,RESOLVED,NO,NO
358671,20110922173700,CLOSED,NO,NO
358682,20110922225900,RESOLVED,NO,NO
358760,20110923143900,RESOLVED,NO,NO
358786,20110923182900,RESOLVED,NO,NO
358943,20110926134600,RESOLVED,NO,NO
359084,20110927104700,RESOLVED,NO,NO
359119,20110927132700,RESOLVED,NO,NO
359232,20110928093200,RESOLVED,NO,NO
359236,20110928095100,RESOLVED,NO,NO
359241,20110928101500,RESOLVED,NO,NO
359246,20110928104500,RESOLVED,NO,NO
359280,20110928130700,RESOLVED,NO,NO
359299,20110928155500,RESOLVED,NO,NO
359300,20110928160500,RESOLVED,NO,NO
359312,20110928175700,RESOLVED,NO,NO
359317,20110928185900,RESOLVED,NO,NO
359318,20110928193300,RESOLVED,NO,NO
359321,20110928200400,RESOLVED,NO,NO
359461,20110929135400,NEW,NO,NO
359463,20110929135500,RESOLVED,NO,NO
359467,20110929144900,RESOLVED,NO,NO
359470,20110929151600,RESOLVED,NO,NO
359471,20110929152900,RESOLVED,NO,NO
359516,20110930022600,RESOLVED,NO,NO
359518,20110930023200,RESOLVED,NO,NO
359577,20110930112100,RESOLVED,NO,NO
359591,20110930132200,RESOLVED,NO,NO
359592,20110930132400,RESOLVED,NO,NO
359595,20110930135800,RESOLVED,NO,NO
359618,20110930163900,RESOLVED,NO,NO
359620,20110930164100,RESOLVED,NO,NO
359624,20110930172100,RESOLVED,NO,NO
359629,20110930190300,RESOLVED,NO,NO
359750,20111003143000,RESOLVED,NO,NO
359976,20111005090300,RESOLVED,NO,NO
360055,20111005185300,RESOLVED,NO,NO
360161,20111006154000,RESOLVED,NO,NO
360234,20111007100800,RESOLVED,NO,NO
360252,20111007115600,RESOLVED,NO,NO
360259,20111007131900,RESOLVED,NO,NO
360263,20111007133800,RESOLVED,NO,NO
360330,20111008143000,RESOLVED,NO,NO
360361,20111009104200,RESOLVED,NO,NO
360365,20111009140600,RESOLVED,NO,NO
360442,20111010101000,RESOLVED,NO,NO
360549,20111011103900,RESOLVED,NO,NO
360581,20111011152600,RESOLVED,NO,NO
360584,20111011154100,RESOLVED,NO,NO
360595,20111011174100,RESOLVED,NO,NO
360654,20111012074000,RESOLVED,NO,NO
360734,20111012171600,RESOLVED,NO,NO
360737,20111012172500,RESOLVED,NO,NO
360743,20111012190800,RESOLVED,NO,NO
360780,20111013044500,RESOLVED,NO,NO
360824,20111013093700,RESOLVED,NO,NO
360952,20111014081200,RESOLVED,NO,NO
361014,20111014133800,RESOLVED,NO,NO
361048,20111015081500,RESOLVED,NO,NO
361536,20111020085900,RESOLVED,NO,NO
361636,20111021073900,RESOLVED,NO,NO
361912,20111025075100,RESOLVED,NO,NO
361977,20111025133900,RESOLVED,NO,NO
361979,20111025134200,RESOLVED,NO,NO
361980,20111025134700,RESOLVED,NO,NO
361982,20111025135200,RESOLVED,NO,NO
362009,20111025173400,RESOLVED,NO,NO
362016,20111025194100,RESOLVED,NO,NO
362233,20111027144200,RESOLVED,NO,NO
362259,20111027235100,RESOLVED,NO,NO
362314,20111028101300,RESOLVED,NO,NO
362352,20111028142800,RESOLVED,NO,NO
362525,20111031152400,RESOLVED,NO,NO
362531,20111031170800,RESOLVED,NO,NO
362560,20111101065300,RESOLVED,NO,NO
362712,20111102143700,RESOLVED,NO,NO
362732,20111102181700,RESOLVED,NO,NO
362998,20111106114500,RESOLVED,NO,NO
363380,20111109154400,RESOLVED,NO,NO
363389,20111109163100,RESOLVED,NO,NO
363496,20111110112400,RESOLVED,NO,NO
363838,20111115103900,RESOLVED,NO,NO
363850,20111115121300,CLOSED,NO,NO
364155,20111118091800,RESOLVED,NO,NO
364162,20111118095100,RESOLVED,NO,NO
364164,20111118095600,RESOLVED,NO,NO
364240,20111120104700,RESOLVED,NO,NO
364381,20111121114800,RESOLVED,NO,NO
364423,20111121171200,RESOLVED,NO,NO
364428,20111121195100,RESOLVED,NO,NO
364478,20111122102400,RESOLVED,NO,NO
364506,20111122140700,RESOLVED,NO,NO
364509,20111122150200,RESOLVED,NO,NO
364511,20111122152300,RESOLVED,NO,NO
364531,20111122215900,RESOLVED,NO,NO
364621,20111123114600,RESOLVED,NO,NO
364632,20111123124600,RESOLVED,NO,NO
364637,20111123134600,RESOLVED,NO,NO
364772,20111124174000,RESOLVED,YES,NO
364776,20111124200200,RESOLVED,NO,NO
364874,20111125170100,RESOLVED,NO,NO
364999,20111128142600,RESOLVED,NO,NO
365033,20111129051600,RESOLVED,NO,NO
365374,20111201184700,RESOLVED,NO,NO
365512,20111203175500,RESOLVED,NO,NO
365879,20111207081500,RESOLVED,NO,NO
365959,20111207153100,RESOLVED,NO,NO
365962,20111207160100,NEW,NO,NO
366019,20111208074800,RESOLVED,NO,NO
366052,20111208104100,RESOLVED,NO,NO
366064,20111208114600,RESOLVED,NO,NO
366111,20111208155100,RESOLVED,NO,NO
366353,20111212011900,RESOLVED,NO,NO
366496,20111213024600,RESOLVED,NO,NO
366629,20111213160200,RESOLVED,NO,NO
366702,20111214093800,RESOLVED,NO,NO
366858,20111215135300,RESOLVED,NO,NO
366863,20111215144400,RESOLVED,NO,NO
367002,20111217062400,RESOLVED,NO,NO
367003,20111217062900,RESOLVED,NO,NO
367006,20111217084400,RESOLVED,NO,NO
367092,20111219110000,RESOLVED,NO,NO
367123,20111219144100,RESOLVED,NO,NO
367134,20111219155500,RESOLVED,NO,NO
367136,20111219155900,RESOLVED,NO,NO
367183,20111220080200,RESOLVED,NO,NO
367185,20111220080800,RESOLVED,NO,NO
367209,20111220110000,RESOLVED,NO,NO
367213,20111220112200,RESOLVED,NO,NO
367215,20111220112600,RESOLVED,NO,NO
367286,20111221053100,RESOLVED,NO,NO
367309,20111221071500,RESOLVED,NO,NO
367320,20111221085600,RESOLVED,NO,NO
367462,20111222164900,RESOLVED,NO,NO
367493,20111223084800,RESOLVED,NO,NO
367525,20111223164100,RESOLVED,NO,NO
367556,20111226122600,RESOLVED,NO,NO
367573,20111227074700,RESOLVED,NO,NO
367633,20111229153200,RESOLVED,NO,NO
367789,20120103144600,RESOLVED,NO,NO
367861,20120104104700,RESOLVED,NO,NO
368295,20120110160000,RESOLVED,NO,NO
368462,20120112110100,RESOLVED,NO,NO
368568,20120113120900,RESOLVED,NO,NO
368607,20120114143800,RESOLVED,NO,NO
368777,20120116162500,RESOLVED,NO,NO
368784,20120116193300,RESOLVED,NO,NO
368830,20120117095800,RESOLVED,NO,NO
368835,20120117103400,RESOLVED,NO,NO
368873,20120117150100,RESOLVED,NO,NO
368912,20120118031800,RESOLVED,NO,NO
369414,20120123113100,RESOLVED,NO,NO
369417,20120123114000,RESOLVED,NO,NO
369421,20120123114700,RESOLVED,NO,NO
369598,20120124160000,RESOLVED,NO,NO
369630,20120125033700,RESOLVED,NO,NO
369697,20120125112600,RESOLVED,NO,NO
369805,20120126091600,NEW,NO,NO
370038,20120128060300,RESOLVED,NO,NO
370283,20120131174000,RESOLVED,NO,NO
370300,20120201030100,RESOLVED,NO,NO
370331,20120201094500,RESOLVED,NO,NO
370420,20120202055000,RESOLVED,NO,NO
370483,20120202141300,RESOLVED,NO,NO
370493,20120202153600,RESOLVED,NO,NO
370504,20120202173500,RESOLVED,NO,NO
370507,20120202182300,RESOLVED,NO,NO
370620,20120203190000,RESOLVED,NO,NO
370646,20120204170100,RESOLVED,NO,NO
370826,20120207092200,RESOLVED,NO,NO
371010,20120208162500,RESOLVED,NO,NO
371017,20120208171800,RESOLVED,NO,NO
371029,20120208195600,RESOLVED,NO,NO
371127,20120209144500,RESOLVED,NO,NO
371154,20120209180000,RESOLVED,NO,NO
371323,20120212065000,RESOLVED,NO,NO
371599,20120215055300,RESOLVED,YES,NO
371747,20120216090400,RESOLVED,NO,NO
371771,20120216101900,RESOLVED,NO,NO
371872,20120217063400,RESOLVED,NO,NO
371955,20120217203600,RESOLVED,NO,NO
371984,20120218171200,RESOLVED,NO,NO
