bugID,opened_date,status,inheritance,overriding,fixed_date,modified_files,added_files,deleted_files
582654,20100728102724,RESOLVED,NO,NO,20100728182026,src/org/mozilla/javascript/NativeIterator.java,,
586057,20100810131206,RESOLVED,NO,NO,20100816134412,src/org/mozilla/classfile/ClassFileWriter.java,,
586062,20100810132445,RESOLVED,NO,NO,20110727102927,src/org/mozilla/classfile/ClassFileWriter.java src/org/mozilla/javascript/Node.java src/org/mozilla/javascript/optimizer/Codegen.java,,
598706,20100922115022,RESOLVED,YES,NO,20101002194323,src/org/mozilla/javascript/regexp/RegExpImpl.java src/org/mozilla/javascript/regexp/SubString.java,,
600259,20100928105234,RESOLVED,NO,NO,20100928194301,src/org/mozilla/javascript/regexp/SubString.java,,
600479,20100929011731,RESOLVED,NO,NO,20101002185729,src/org/mozilla/javascript/BaseFunction.java,testsrc/org/mozilla/javascript/tests/FunctionTest.java,
608235,20101029050537,RESOLVED,NO,NO,20120812122813 20120827030005,src/org/mozilla/javascript/ScriptRuntime.java,testsrc/jstests/608235.jstest,
614668,20101124135158,RESOLVED,NO,NO,20101124221409,src/org/mozilla/javascript/IRFactory.java src/org/mozilla/javascript/Parser.java,,
619296,20101215024957,RESOLVED,NO,NO,20101216110805,src/org/mozilla/javascript/NativeJavaClass.java src/org/mozilla/javascript/NativeJavaPackage.java src/org/mozilla/javascript/WrapFactory.java,,
623246,20110105094213,RESOLVED,NO,NO,20120110120314,src/org/mozilla/javascript/ScriptRuntime.java,testsrc/doctests/623246.doctest,
630111,20110130212148,RESOLVED,NO,NO,20110301231330,src/org/mozilla/classfile/ClassFileWriter.java,,
637587,20110301005725,RESOLVED,YES,YES,20110306145249,src/org/mozilla/javascript/BaseFunction.java src/org/mozilla/javascript/Context.java src/org/mozilla/javascript/ImporterTopLevel.java src/org/mozilla/javascript/NativeArray.java src/org/mozilla/javascript/NativeBoolean.java src/org/mozilla/javascript/NativeJavaArray.java src/org/mozilla/javascript/NativeJavaObject.java src/org/mozilla/javascript/NativeNumber.java src/org/mozilla/javascript/NativeString.java src/org/mozilla/javascript/NativeWith.java src/org/mozilla/javascript/ScriptRuntime.java src/org/mozilla/javascript/ScriptableObject.java src/org/mozilla/javascript/regexp/NativeRegExp.java src/org/mozilla/javascript/regexp/NativeRegExpCtor.java src/org/mozilla/javascript/regexp/RegExpImpl.java,src/org/mozilla/javascript/TopLevel.java,
637811,20110301113141,RESOLVED,NO,NO,20120727114306 20120807074634,src/org/mozilla/javascript/ast/LabeledStatement.java,testsrc/org/mozilla/javascript/tests/Bug637811Test.java,
660798,20110531054029,RESOLVED,NO,NO,20111119134644,src/org/mozilla/javascript/NativeGlobal.java testsrc/base.skip testsrc/opt-1.tests testsrc/opt0.tests testsrc/opt9.tests,testsrc/jstests/660799.jstest,
660799,20110531054518,RESOLVED,NO,NO,20111119134644,src/org/mozilla/javascript/NativeGlobal.java testsrc/base.skip testsrc/opt-1.tests testsrc/opt0.tests testsrc/opt9.tests,testsrc/jstests/660799.jstest,
676483,20110804022830,RESOLVED,NO,NO,20111119162500,src/org/mozilla/javascript/NativeJavaObject.java,,
684131,20110901185227,RESOLVED,NO,NO,20110926162659,src/org/mozilla/javascript/ast/AstNode.java,,
685403,20110907211420,RESOLVED,NO,NO,20120727105713 20120807161820,src/org/mozilla/javascript/Interpreter.java,testsrc/org/mozilla/javascript/tests/Bug685403Test.java,
686806,20110914164402,UNCONFIRMED,NO,NO,20120711200223 20120720144104,src/org/mozilla/javascript/json/JsonParser.java testsrc/org/mozilla/javascript/tests/json/JsonParserTest.java,,
686822,20110914192814,RESOLVED,NO,NO,20110926163113,src/org/mozilla/javascript/ast/ArrayComprehensionLoop.java,,
687669,20110919145546,RESOLVED,NO,NO,20120220140226,src/org/mozilla/javascript/Parser.java,src/org/mozilla/javascript/ast/EmptyStatement.java testsrc/org/mozilla/javascript/tests/Bug687669Test.java,
688018,20110920144819,RESOLVED,NO,NO,20120224160229 20120228181904,src/org/mozilla/javascript/ast/AstNode.java src/org/mozilla/javascript/ast/UnaryExpression.java,testsrc/org/mozilla/javascript/tests/Bug688018Test.java,
688021,20110920145212,RESOLVED,NO,NO,20120220142749,src/org/mozilla/javascript/ast/KeywordLiteral.java,testsrc/org/mozilla/javascript/tests/Bug688021Test.java,
688023,20110920145745,RESOLVED,NO,NO,20120727100848 20120803010349,src/org/mozilla/javascript/ast/ForInLoop.java src/org/mozilla/javascript/ast/ForLoop.java src/org/mozilla/javascript/ast/IfStatement.java src/org/mozilla/javascript/ast/WhileLoop.java src/org/mozilla/javascript/ast/WithStatement.java,testsrc/org/mozilla/javascript/tests/Bug688023Test.java,
688458,20110922073349,RESOLVED,YES,NO,20111005160433 20111110184743 20111110212106,src/org/mozilla/javascript/ScriptableObject.java,testsrc/jstests/688458.jstest,
689308,20110926144336,RESOLVED,NO,NO,20120220150702,src/org/mozilla/javascript/ast/AstNode.java,testsrc/org/mozilla/javascript/tests/Bug689308Test.java,
689314,20110926145124,RESOLVED,NO,NO,20120220171529,src/org/mozilla/javascript/ast/FunctionNode.java,testsrc/org/mozilla/javascript/tests/Bug689314Test.java,
708801,20111208125801,RESOLVED,NO,NO,20111213114758 20120420164136,src/org/mozilla/javascript/optimizer/Block.java src/org/mozilla/javascript/optimizer/Optimizer.java,testsrc/org/mozilla/javascript/tests/Bug708801Test.java,
710225,20111213080223,RESOLVED,NO,NO,20111216144626,src/org/mozilla/javascript/Parser.java,,
714204,20111229172230,RESOLVED,YES,NO,20120110110938,src/org/mozilla/javascript/IRFactory.java src/org/mozilla/javascript/Parser.java,testsrc/org/mozilla/javascript/tests/Bug714204Test.java,
716562,20120109085228,RESOLVED,NO,NO,20120110103658,src/org/mozilla/javascript/Parser.java,,
726116,20120210115713,RESOLVED,NO,NO,20120215151341,src/org/mozilla/javascript/ScriptRuntime.java src/org/mozilla/javascript/resources/Messages.properties,,
726121,20120210120933,RESOLVED,NO,NO,20120215154606,src/org/mozilla/javascript/IRFactory.java,,
728286,20120217100258,RESOLVED,NO,NO,20120528214756 20120729142358 20120808030534,src/org/mozilla/javascript/NativeArray.java,,
732779,20120304040620,RESOLVED,YES,NO,20120526130158,src/org/mozilla/javascript/NativeDate.java,,
736482,20120316085339,RESOLVED,NO,NO,20120618121733,build.xml,,
